Date,Price_0-3%,Percent Change_0-3%,Price_3-7%,Percent Change_3-7%,Price_7-15%,Percent Change_7-15%,Price_15-100%,Percent Change_15-100%,Price_index,Percent Change_index
2023-02-15,39.885,0.01997238134206225,10.461,0.04432464809823311,0.106,-2.5588235294117645,-3.354,-0.006810778797749384,72.0,0.02857142857142847
2023-02-16,39.485,-0.010028832894571904,10.176,-0.027244049326068276,0.02,-0.8113207547169812,-3.358,0.0011926058437685683,71.0,-0.01388888888888884
2023-02-17,40.518,0.026161833607699192,10.852,0.06643081761006298,0.295,13.749999999999998,-3.296,-0.01846337105419904,74.0,0.04225352112676051
2023-02-20,40.518,0.0,10.852,0.0,0.295,0.0,-3.296,0.0,74.0,0.0
2023-02-21,40.781,0.006490942297250557,11.065,0.019627718392922988,0.367,0.24406779661016964,-3.27,-0.007888349514563076,75.0,0.013513513513513598
2023-02-22,41.144,0.008901203992055073,11.2,0.012200632625395391,0.451,0.228882833787466,-3.243,-0.008256880733945038,76.0,0.01333333333333342
2023-02-23,40.748,-0.00962473264631536,10.83,-0.03303571428571417,0.378,-0.16186252771618626,-3.264,0.00647548566142464,75.0,-0.013157894736842146
2023-02-24,40.702,-0.0011288897614606386,10.962,0.01218836565096959,0.379,0.002645502645502562,-3.256,-0.002450980392156854,75.0,0.0
2023-02-27,40.66,-0.001031890324799778,10.855,-0.009760992519613154,0.376,-0.0079155672823219,-3.241,-0.004606879606879555,75.0,0.0
2023-02-28,40.664,9.837678307933473e-05,10.884,0.0026715799170888843,0.388,0.03191489361702127,-3.25,0.002776920703486452,75.0,0.0
2023-03-01,40.651,-0.0003196930946290921,10.804,-0.007350238882763649,0.394,0.015463917525773141,-3.246,-0.0012307692307692575,75.0,0.0
2023-03-02,40.904,0.006223709133846622,11.054,0.023139577934098376,0.506,0.2842639593908629,-3.223,-0.007085643869377711,76.0,0.01333333333333342
2023-03-03,40.523,-0.009314492470174018,10.793,-0.02361136240275019,0.423,-0.16403162055335974,-3.237,0.004343779087806476,75.0,-0.013157894736842146
2023-03-06,39.02,-0.037090047627273415,9.834,-0.0888538867784675,0.073,-0.8274231678486997,-3.299,0.019153537225826245,71.0,-0.053333333333333344
2023-03-07,38.679,-0.00873910814966683,9.639,-0.019829164124466114,-0.006,-1.082191780821918,-3.319,0.006062443164595255,70.0,-0.014084507042253502
2023-03-08,39.741,0.027456759481889303,10.245,0.06286959228135691,0.251,-42.833333333333336,-3.253,-0.019885507683036985,73.0,0.04285714285714293
2023-03-09,40.424,0.01718628117057941,10.746,0.048901903367496447,0.426,0.6972111553784861,-3.215,-0.011681524746388061,75.0,0.027397260273972712
2023-03-10,41.829,0.034756580249356794,11.595,0.07900614182021215,0.829,0.9460093896713615,-3.149,-0.02052877138413678,79.0,0.05333333333333323
2023-03-13,44.422,0.06199048507016647,13.294,0.1465286761535145,1.553,0.8733413751507841,-2.995,-0.04890441409971413,87.0,0.10126582278481022
2023-03-14,44.985,0.012673900319661424,13.714,0.03159319993982246,1.75,0.12685125563425625,-2.955,-0.013355592654424098,89.0,0.02298850574712641
2023-03-15,45.815,0.018450594642658524,14.259,0.039740411258567976,2.074,0.18514285714285705,-2.898,-0.019289340101522834,92.0,0.03370786516853941
2023-03-16,45.552,-0.005740478009385486,13.979,-0.019636720667648544,1.975,-0.047733847637415505,-2.907,0.0031055900621117516,91.0,-0.010869565217391353
2023-03-17,43.924,-0.03573937478047062,12.955,-0.07325273624722795,1.547,-0.2167088607594937,-3.01,0.035431716546267644,86.0,-0.05494505494505497
